artist,title,English_clean_lyric
  이영훈  ,무얼 기다리나 (Feat. 조원선),
  이호석  ,찾고 있니,
  토마스쿡 (thomascook)  ,두 번째 인생,
  Allegrow  ,어디쯤 있나요,
  이어스 (Ears)  ,The Grateful Breeze,breeze breeze lead mind space breeze lead memory place breeze breeze breeze body lead mind space breeze lead memory place breeze breeze mind hello memory goodbye mind hello memory goodbye look wait come surround reveal reveal reveal reveal grateful imagined specific clear empty empty gentle breeze empty empty old old far away far away far away far away
  르 메리무스  ,사랑은 타이밍이지 (Feat. 오경록 Of 와러서커스),forever
  낭만유랑악단  ,어디가나요,
  바스켓 노트  ,가슴에 묻다,
  헤이즈문 (Haze Moon)  ,Save Me,people people world way everything world life people need people one nothing world way everything need world life feel anything happiness stranger see like hide see wait run cure break change come see look cure break become get wrong see wrong long much longer away back anymore back anymore far away
  헤이달리 (Hey Dali)  ,모래편지,lie lie cry cry cry lie lie lie cry cry cry bye bye bye fly lie
  타린  ,닿을락 말락 (Feat. 슈가볼),
  담소네공방  ,반했나요,
  담소네공방  ,그네,
  Eighteen April  ,Dreamer,story life dust coffin gold prize soul season winter blister train home time bottle intention bottle intention eye skin word thought vision scream feeling tick clock grip teeth tomorrow dream grip teeth tomorrow dream eye eye eye skin word thought vision scream feeling tick clock road direction dream repeat gain try fit fill win sell grow jump wish take return smile smile fade cloud let grow bite bite fade fade fade cloud let grow pave numb last fake fake open unsaid blurry tight tight open skin open skin open unsaid blurry yet still shiver back never away never away away away never
  디오디오 (The Audio)  ,그 어떤 미사여구보다 더 아름다웠던,
  우주히피  ,여기,
  이스트코너 (East Corner)  ,봄이니까,
  비누도둑  ,당근주스,
  밀크티  ,프롬 (From),gleaming warm gleaming warm gleaming warm gleaming warm top top top gleaming warm gleaming warm top top top love love love love love love love love love love love love
  스키니죠 (Skinnyjoe)  ,#18 (Egolog),grass summertime sadness storm day kind soul burn ground bone fall oblivion part part meadow truth page logbook watch feel hell scatter pearly dark blue crown separate last still
  이매진  ,고백 (Let Me In),
  센치한 버스  ,사소한 고백,
  라데  ,내사랑 안녕,heart sunset sunset head focus back always
  먼데이모닝  ,벚꽃 보러가요 (리마스터드),
  권나무  ,마부의 노래,
  스위트 피  ,오로라 (Feat. 프롬),
  톰톰  ,아무일도 없는 밤 (Remastered 2018),
